CLASS_LABEL,CLASS_DESCRIPTION,CLASS_IMPORTANCE_SCORE,RELEVANCE_CLASS
Railway Transportation Disruption,very recent breaking news on major railway transportation accidents or disruption,2,1
Maritime Transportation Disruption,very recent breaking news on major maritime transportation accidents or disruption,2,1
Warehouse Disruption,very recent breaking news on warehouse and storage facilities disruption or destruction,2,1
Air Transportation Disruption,very recent breaking news on major air transportation accident or airport disruption,2,1
Extreme Weather Disruption,very recent breaking news on severe and extreme weather causing accidents or disruption,2,1
Strike Action Disruption,very recent breaking news on major and large scale worker strike actions and demonstration causing disruption,2,1
Cybersecurity Disruption,very recent breaking news on major and large scale cyber attacks and security breaches,2,1
Forced Labor,very recent breaking news on forced labor and sweatshop,2,1
Warning News,later reports of past transportation disruption event,1,0
General News,"lawsuits, legal or insurance impact of past event",0,0
General News,"general political, social, business, economic reports, studies and trends",0,0
General News,leisure new or other news,0,0
Pandemics,very recent breaking news on pandemics and diseases,2,1
Bans,very recent breaking news on trade commodity bans and embargos,2,1
