,INSERT_DATETIME,URI,TOPIC,TOPIC_URI,TITLE,BODY,URL,RELEVANCE_CLASS,BODY_SUMMARY
118,2023-09-12 04:09:07.586,7501230662,warehouse_fire,eb7688e0-0c9f-4e9a-a2b8-2ba000a8f11b,"Fire destroys Sangre Grande block factory, house","Fire officers were up to late yesterday trying to ascertain the origin of a fire which destroyed a block factory in Sangre Grande earlier in the day. Losses were said to be millions of dollars. A report said apart from the warehouse, one truck two forklifts, a concrete mixer and other machines were destroyed. Owner of the Pallet and Brick Factory claimed fire officers from the Sangre Grande Fire Station took more than an hour to respond and when they arrived they went into the compound of XTRA Foods. I had to go across to XTRA Foods and tell the fire officer the fire is next door, he claimed. He said by the time the fire officers arrived on his compound on Eastern Main Road Turure, Sangre Grande, the entire warehouse and one house was engulfed in flames. However, the officers contained the fire from spreading to nearby houses with the assistance of fire appliances from Arima. Alix Ramdass Sand and Gravel Company Limited supplied portable water to the fire tenders. Sampson said the fire began around 11.45 am. He was unable to say how it started. He used to supply pallets to AS Bryden and Sons. The fire has left eight employees out of a job. Asked if his company was insured he said I cannot say yes or no, I have to ask my sister. All I know is that the damage will run into millions. Natasha Hamilton, a mother of two and single parent whose house was destroyed in the fire, said everything was burnt. She said school books and uniforms belonging to her children who attend North Eastern College and Guaico Government Primary respectively, were also destroyed. She is now appealing for assistance. I am traumatised as well as my two children. Family members have pledged to give lodging but cannot say for how long, she said. The fire officers said they had no water problem, but by the time they arrived at the warehouse it was already engulfed in flames and the best thing they could have done was to contain the fire from spreading to nearby houses. When asked FSSO Lakhan for comment he said he was unable to do so because of protocol.",https://www.cnc3.co.tt/fire-destroys-sangre-grande-block-factory-house/,1,"Fire destroyed a block factory in Sangre Grande earlier in the day. Losses were said to be millions of dollars. Owner of the Pallet and Brick Factory claimed fire officers took more than an hour to respond and when they arrived they went into the compound of XTRA Foods. He said by the time the fire officers arrived on his compound the entire warehouse and one house was engulfed in flames. However, the officers contained the fire from spreading to nearby houses with the assistance of fire appliances from Arima."
820,2023-09-12 04:02:52.967,7463581898,marine,d4dfd2e7-86fc-4098-975e-32dcf4eea142,Another rail strike in Germany to add to European freight troubles - The Loadstar,"A rail strike in Germany on Monday is expected to cause delays and rail freight disruptions, as freight forwarders and shippers ask for flexibility on timings to help the movement of goods. The latest action follows a port pilots' strike, which ended this morning, and disruption in France as demonstrators protest against the president's plan to reduce the pensionable age. Stefan Genth, CEO of the HDE retail association, called on the German government to lift the Sunday driving ban this weekend to allow logistics firms to bring forward some shipments and avoid supply chaos. Leader of the EVG union Martin Burkert said industrial action was a sharp sword that we also handle very responsibly. Pointing to the fact that Germany has few strike days compared with other countries. Mr Burkert said the dispute pursued by EVG and the Ver.di union centred on demands for pay and collective agreements. Monaco-based website Connexion is reporting that some refineries in France have been affected by the disputes, with some regions limiting fuel sales, and some flights lost due to air traffic controller disruption. Yesterday's protests in France caused disruption to freight, according to ferry operator DFDS. Director Chris Parker told The Loadstar: We have had some instances where customers' journeys have been affected when protesters block the roads. We are monitoring the situation closely and contacting freight and passenger customers with advice about what is open and what is not. At the moment, we do not have issues on any of our routes. While PO Ferries also reported no issues and advised freight operators that should disruptions occur, it would advise customers via Twitter and by text. In the UK, a port of Dover spokeperson advised: The port is still open, with minimal disruption expected. Please plan ahead, allow extra time for your journey and check with your ferry operator before travelling.",https://theloadstar.com/another-rail-strike-in-germany-to-add-to-european-freight-troubles/,1,"Rail strike in Germany expected to cause delays and rail freight disruptions. Latest action follows a port pilots' strike, which ended this morning. Yesterday's protests in France caused disruption to freight, according to ferry operator DFDS. In the UK, a port of Dover spokeperson advised: The port is still open, with minimal disruption expected. Please plan ahead, allow extra time for your journey and check with your ferry operator before travelling. For confidential support call the Samaritans in the UK on 08457 90 90 90, visit a local Samaritans branch or click here."
1597,2023-09-12 04:02:07.878,7423435602,strike,3c6e51c0-87a5-4343-9fd9-76b1edd597cf,The schools in Wales that will shut during teacher strike on Thursday,"Schools across Wales will shut again this Thursday when teachers walk out for a second time in a continued row over pay and funding. Hundreds of schools closed in the first strike by members of the National Education Union on February 1. Councils admit the full picture of school closures will not be known until the day of the strike but have begun to publish lists. Parents are being advised to contact their child's school and check media and schools' social media for the latest up-to-date information Union members initially suspended further strikes while talks continued with the Welsh Government but then rejected a new pay offer from education minister Jeremy Miles and will now strike again on March 2. Two further strike days are planned for March 15 and 16. Read more: Wales faces massive shortage of specialist physics and chemistry teachers The renewed offer would have given teachers a further 1.5 pay rise plus a one-off cash bonus also equivalent to 1.5 of a teacher's salary in addition to the initial 5 pay offer. Union members said that was just not good enough and you can read more details of that here. Some local education authorities have published lists of schools they know will shut when teachers walk out on Thursday, March 2, but have conceded there may be more and those lists are likely to change. Councils said they will not know until the day of the strike which schools will be running normally or not. Staff do not have to tell head teachers if they plan to walk out so the full situation will not be clear until then. A work to rule by school leaders, who have also rejected the new offer on grounds it does not address working conditions, means heads will not provide cover for striking teachers. Online learning will not be provided Cllr Phil Wynn, lead member for education at Wrexham Council, summed up the situation across Wales and said: We understand parents' concerns as there will inevitably be disruption on Thursday, March 2, and we are working with schools to manage this in the best way possible. The full extent of the industrial action, however, will not be known until the day itself. Members of the NEU will take their protest to the Senedd on March 2 with a strike day rally from 11.45am. Joint general secretary Mary Bousted will speak at the rally expected to be attended by hundreds of striking teachers. The strike coincides with teacher strikes in England and head teachers and school leaders who are members of the National Association of Headteachers Cymru have also rejected the latest offer. Members of the NAHT Cymru said the renewed pay offer from the Welsh Government was too vague and did not address their concerns over workload. The heads' work to rule means tasks they will not do include providing cover for striking teachers or information on who is striking. They will also restrict their availability to receive or respond to calls and emails before 9am or after 3pm. An area-by-area breakdown of plans for Thursday Newport Closed Ysgol Bryn Derw Caerleon Comprehensive John Frost School Llanwern High Newport High Ysgol Gyfun Gwent Is Coed Glasllwch Primary Jubilee Park Primary Millbrook Primary Fully open Ysgol Gymraeg Nant Gwenlli Mount Pleasant Primary Partially open Lliswerry High (post-16) St Julian's School (post-16) St Patrick's RC Primary St Woolos Primary Tredegar Park Primary Ysgol Gymraeg Casnewydd Ysgol Gymraeg Bro Teyrnon St Andrews Primary Crindau Primary Torfaen The council said it has had notice from 19 schools and expects to have daily updates until Wednesday afternoon. So far three schools have confirmed they will shut, 12 will be partially shut, and four have said they will be fully open. The situation for all other schools in the county are not known and the council did not name those that would be shut, partially shut, or open. Conwy The council warned the full impact will not be known until strike day but as of last thing on Monday, February 27, it has been told 11 of its 63 schools will be shut, 16 partially shut, 16 open, and the impact on the rest was not known. The council said in a statement: Decisions on whether to close schools during industrial action have been taken by the head teacher of a school following a risk assessment. Schools have contacted parentscarers direct with information specific to local circumstances. The education service is advising parentscarers to follow the information provided by their child's school. We are awaiting information from 20 schools. The full extent of the industrial action will not be known until the day itself. Pembrokeshire Closed Waldo Williams Primary Fenton Primary Broad Haven Primary Partially open Greenhill High Haverfordwest High Ysgol Harri Tudur Comprehensive Pembroke Dock Community Primary Ysgol Gelli Aur Stepaside Primary Fishguard RC  Holy Name Primary St Francis RC Primary Ysgol Ger y Llan Pennar Community Primary St Oswalds Primary St Marks Primary Ysgol Glannau Gwaun Prendergast Milford Haven Community The council said it was expecting updates from other schools. Denbighshire Closed Bodnant Community Primary Ysgol Bryn Collen Primary Christ the Word Catholic School - primary and secondary Denbigh High School Rhos Street Primary School Rhyl High School St. Brigid's Primary and Secondary School Ysgol Caer Drewyn Primary Ysgol Emmanuel Primary Ysgol Frongoch Junior Ysgol Pendref Primary Ysgol Plas Brondyffryn (additional learning needs) Partially open Ysgol Bodfari (primary) - open for nursery, reception, year one, and year two Ysgol Borthyn (primary) - open for nursery, reception, year three, and year four Ysgol Carrog (primary) - open for nursery, reception, year one, and year two Ysgol Tir Morfa (primary) - open for all classes except Class Alwen, which will be closed Ysgol Twm o'r Nant (primary) - open for all classes except Class Meillion, which will be closed Ysgol Y Parc (primary) - open for reception, year one, and year two Gwynedd A Gwynedd Council spokesman said: The National Education Union (NEU) has announced four dates of industrial action by their members, which means that some schools in Gwynedd may close partially or completely for learners on those days. As a local education authority we have met with the heads of the county's primary, secondary, and special schools in order to prepare and discuss the main issues that may arise. The impact of the strike will vary from school to school. We sympathise with the concern this may cause for pupils and their families and we are working closely with our schools so that they can provide appropriate and consistent information to parents and pupils in advance. The full extent of the industrial action cannot be known until the day itself. As a council we are committed to working with the Welsh Government and the unions to resolve this dispute and to ensure that any action disrupts as little as possible on the provision of education in the county. Wrexham Cllr Phil Wynn, lead member for education, said: We understand parents' concerns as there will inevitably be disruption on Thursday, March 2, and we are working with schools to manage this in the best way possible. The full extent of the industrial action, however, will not be known until the day itself. Head teachers are preparing risk assessments based on the information they have in order to assist them in making a decision on whether or not to close, partially close, or remain open. They will endeavour to give as much notice as possible to parents. Parents are advised to look out for communications from their child's school and to take the necessary action. Anglesey A council spokesman said: We are liaising with head teachers to assess how the latest industrial action will affect our schools on March 2. Assessing the impact of the industrial action is, of course, hampered by the fact that teachers do not have to inform their head teacher that they are unavailable for work until the morning of March 2. However we will continue to work with schools to ensure that we have as clear a picture as possible. Schools will be informing parents directly with regards to their intention as soon as they are able to. Flintshire A council spokesman said: The full extent of the industrial action will not be known until the day itself. We advise parents to look out for communications from their child's school directly and to take the necessary action. Elsewhere Wales' two largest local education authorities, Cardiff and Swansea, said they could not give any details of school closures until nearer the time. In the last strike most schools in both cities shut. NEU members said they are striking to save education which faces a teacher recruitment and retainment crisis after years of pay erosion and increased workload. Teachers are leaving the profession for better-paid jobs, the union said. Schools across Wales have reported difficulty recruiting in core subjects such as maths and English as well as the sciences. NEU joint general secretary Kevin Courtney said: The offer of an additional 1.5 added to teachers pay, plus an additional 1.5 lump-sum, is simply not good enough and fails to address either the cost of living crisis, spiralling inflation, nor the damage done to pay since 2010. We have a clear mandate for strike action that is now rescheduled for March 2 in schools across Wales. Nasuwt Cymru has also now rejected the new pay offer with that union warning it is committed to a further industrial action ballot of members in Wales unless there is an improved offer. A ballot of members after the first pay offer of 5 did not get enough votes across the threshold for a strike at that time. To get our free daily briefing on the biggest issues affection the nation, Wales Matters, click here. READ NEXT: Ambulance workers announce more strike dates in Wales 'Schools are at breaking point,' says former teacher who left to run children's wellbeing education sessions The figure that shows why teachers are on strike in Wales New poll shows Conservatives close to wiped out in Wales in general election Met Office issues snow and 'beast from the east' update with three possible likelihoods",https://www.walesonline.co.uk/news/education/schools-wales-shut-during-teacher-26347089,0,Teachers will walk out for a second time on March 2 over pay and funding. Councils admit the full picture of school closures will not be known until the day of the strike but have begun to publish lists. Parents are being advised to contact their child's school and check media and schools' social media for the latest up-to-date information. Two further strike days are planned for March 15 and 16. A work to rule by school leaders means heads will not provide cover for striking teachers.
483,2023-09-12 04:02:52.967,7484807959,weather_naturalevent,aaa6ce5a-8bb0-4f71-a446-4ea68bf40bcf,478 tornado reports across 25 states: How a mild winter led to destruction,"A string of destructive tornadoes ripped through huge swaths of the country in recent weeks, with experts saying a warmer-than-usual winter across the South likely fueled what has been one of the busiest recorded starts to the tornado season. There have been at least 478 tornado reports this year across 25 states as of Wednesday, according to the National Weather Service. Only 2017, with 503 tornado reports, and 2008, with 523, had more at this point in the year. Pinning down how tornado activity will change in a warming world -- if at all -- is an active area of research, and more data is needed. But a picture is emerging of how risks are changing across parts of the country, particularly in areas where social factors compound vulnerabilities to extreme weather. This year's active start can be blamed, at least in part, on the mild winter conditions experienced across much of the country, said Harold Brooks, a senior research scientist at the National Oceanic and Atmospheric Administration's National Severe Storms Laboratory. Warmer-than-usual winters create the type of atmospheric instability in early spring that is a key ingredient for severe storms, including those that spin up tornadoes. If you do not get the cold fronts across the Gulf, all you need is a little bit of wind to bring in a lot of warm, moist air, Brooks said. And this has been a year where cold fronts really have not gotten that far south. The southern part of the YOU.S. was not particularly cold this winter. This dynamic is why tornadoes in the South occur more commonly in the cooler months, from late fall through winter and into early spring. It is also why this part of the country may become more vulnerable as the world warms. A study published last week in the Bulletin of the American Meteorological Society found that supercell storms, which can produce violent tornadoes, will increase as the world warms. These storms are also projected to hit Southern states like Alabama, Mississippi and Tennessee more frequently in the future, according to the research.",https://www.nbcnews.com/science/science-news/tornado-season-2023-strong-start-rcna78394,0,"There have been at least 478 tornado reports this year across 25 states as of Wednesday. Only 2017 and 2008 had more at this point in the year. Warmer-than-usual winters create the type of atmospheric instability in early spring. This dynamic is why tornadoes in the South occur more commonly in the cooler months, from late fall through winter and into early spring, experts say. It is also why this part of the country may become more vulnerable as the world warms, they say."
915,2023-09-12 04:02:52.967,7456293041,marine,d4dfd2e7-86fc-4098-975e-32dcf4eea142,West coast ports suffering as US container imports plunge by 37 - The Loadstar,"As anticipated, US container imports in February were massively down from the highs of the previous year, with US west coast ports in particular suffering a huge 37 drop. According to the McCown report, which covers the top ten US container ports, import throughput last month fell a record 28, to 1,454,438 teu, the lowest level since March 2020, as extremely weak demand was exacerbated by the Chinese New Year falling ten days earlier than last year. Meanwhile, imports at US east and Gulf coast ports declined 18.7, to 809,375 teu, with only the port of Houston recording an increase, 12.7 year on year, to 141,946 teu. The west coast ports were also impacted by the continued coastal shift to the east and the unresolved west coast labour situation. The port of Los Angeles saw a startling 41.2 collapse in container imports, to 249,407 teu, demoting it to third in the import rankings behind New YorkNew Jersey, with 280,652 teu, and San Pedro Bay neighbour Long Beach's 254,970 teu. During a cargo news briefing on Friday, LA's executive director, Gene Seroka, said vessel calls in February were down to 61, compared with 93 in the same month of last year, and no fewer than 30 blanked sailings in the month. The demand is just not there, he said. US warehouses remain largely full, retailers must clear inventory levels before the next wave of imports arrive, but with the economy on everybody's mind and consumers continuing to feel the pinch of inflation, older inventories are simply not moving fast enough. All this, he added, amid reports in the US media of retailers deciding to destroy stock they could not shift even with heavy discounting. Mr Seroka said that while he expected March volumes to be better, throughput would be around a third down, quarter on quarter, and would remain lighter than average in the first half of 2023. Indeed, McCown report three-month data is now showing a 21 decline in import volumes, a further decrease on the 17.2 negative of last month. And there was further evidence of the global slowdown in the big drop in empty equipment being shipped back to Asia, with the port of Los Angeles processing 156,035 teu for export during the month, versus 338,251 teu the previous year. Nevertheless, Mr Seroka said, there was some reason for optimism from its close monitoring of purchase orders - which he explained typically convert to shipments from Asia 90 to 100 days later. We are starting to see a little bit of an uptick in the middle of the year, he said. Meanwhile, US exports continued their recent gains, recording an overall 4.6 increase to 789,037 teu in February, for a trailing three-month gain of 8.7. According to the McCown report, the ports with the strongest export performance in February were Houston, up 41.7 to 116,265 teu, Charleston, up 12.2 to 61,448 teu, and Norfolk, up 8.8 to 96,399 teu. Los Angeles was the weakest, with a loss of 13.7, to 82,404 teu, followed by Oakland, with a drop of 9.4, to 56,475 teu.",https://theloadstar.com/west-coast-ports-suffering-as-us-container-imports-plunge-by-37/,0,"US container imports in February were massively down from the highs of the previous year. US west coast ports in particular suffered a huge 37 drop. The port of Los Angeles saw a startling 41.2 collapse in container imports, to 249,407 teu, demoting it to third in the import rankings behind New YorkNew Jersey and Long Beach. US warehouses remain largely full, retailers must clear inventory levels before the next wave of imports arrive, but older inventories are simply not moving fast enough."
109,2023-09-12 04:02:52.967,7501458873,marine,d4dfd2e7-86fc-4098-975e-32dcf4eea142,Argentina Grains Inspectors Strike Halts Shipments at Rosario Ports,"Argentina grains inspectors have launched a 24-hour strike that is halting shipments at key river ports in farm transport hub Rosario, the ports chamber CAPyM said on Monday. The strike by the Urgara grains inspectors union is linked to conflicts over a port in the city of Buenos Aires and what it says are high taxes applied to workers' salaries. The strike is affecting absolutely all the ports (in Rosario). They are all stopped as a result of the Urgara strike, Guillermo Wade, head of CAPyM, told Reuters, adding that the measure was preventing ships being loaded. Argentina is the world's top exporter of soybean oil and meal, the third largest in corn, and a key supplier of wheat.",https://www.marinelink.com/news/argentina-grains-inspectors-strike-halts-504412,1,"Argentina grains inspectors have launched a 24-hour strike that is halting shipments at key river ports in farm transport hub Rosario. The strike by the Urgara grains inspectors union is linked to conflicts over a port in the city of Buenos Aires and what it says are high taxes applied to workers' salaries. Argentina is the world's top exporter of soybean oil and meal, the third largest in corn, and a key supplier of wheat. The measure was preventing ships being loaded."
1790,2023-09-12 04:02:07.878,7412541613,air,f5e25ca7-4d7a-475e-89ab-7d45d5fa1365,"Man caused false alarm by flying drone into critical area at Dublin Airport, court told","Ainis Guzauskas (41) is banned from using or operating a drone under bail conditions after he appeared in court charged over an alleged incident last summer. Judge John Hughes adjourned the case for the directions of the DPP to be given. Mr Guzauskas, of Ridgewood Close, Swords, Co Dublin, is charged with one offence under Section 43 of the Air Navigation and Transport Act 1988. He is accused of knowingly causing a false alarm by flying an unmanned aerial system (drone) into the critical area of Dublin Airport which interfered with the operation of an aerodrome. The offence is alleged to have happened at Naul Road on July 2, 2022. Garda Paul Murphy told Judge Hughes he arrested the accused at Dublin Airport garda station at 2.57pm today for the purpose of charge. He was charged at 4.08pm and made no reply after caution. The accused was handed a copy of the charge sheet, the garda said. He had no objection to bail subject to conditions. Asked how far Mr Guzauskas lived from the airport, the garda said it was 2km as the crow flies but further to drive. The judge also asked if the accused had any upcoming reason to be near the airport. Defence solicitor Donal Quigley said his client would be flying from the airport for a holiday in July. Judge Hughes granted bail in the accused's own bond of 500, with no cash lodgement or surety required. Under conditions, Mr Guzauskas is prohibited from owning or flying a drone at any time, for any reason anywhere within the state, and is not to take part in any way in the operation of a drone. He must not attend within 2km of Dublin Airport without the consent of the garda. He is to reside at the address on the charge sheet and notify gardai of any proposed change of address. Mr Guzauskas must submit a phone number at which he is contactable 24 hours per day. He is also to surrender passport within 24 hours, undertake not to apply for any other travel documents and not leave the state without permission. The judge granted free legal aid after hearing the accused was a separated father-of-two and worked for a removal company. Gda Murphy said the DPP had given preliminary directions to charge Mr Guzauskas and sought an adjournment for an investigation file to be sent. The case was adjourned to March 21. Mr Guzauskas has not yet indicated how he intends to plead to the charge. The accused is the second person to appear before the court in recent weeks on a charge related to drone-flying near the airport. Earlier this month, Eric Brills (50) of Holywell Dale, Swords, was charged with flying a drone in a critical area close to Dublin Airport, which was likely to interfere with the safety of aircraft in flight. Mr Brills' charge was under Section 3 of the same Act and followed an incident on January 24 this year. That case, which has also been adjourned, was unrelated to Mr Guzauskas's charge.",https://www.independent.ie/irish-news/courts/man-caused-false-alarm-by-flying-drone-into-critical-area-at-dublin-airport-court-told-42353262.html,1,"Ainis Guzauskas (41) is charged with one offence under the Air Navigation and Transport Act 1988. He is accused of knowingly causing a false alarm by flying an unmanned aerial system (drone) into the critical area of Dublin Airport. The offence is alleged to have happened at Naul Road on July 2, 2022. Judge John Hughes adjourned the case for the directions of the DPP to be given. He granted bail in the accused's own bond of 500, with no cash lodgement or surety required."
1903,2023-09-12 04:02:07.878,7405996862,air,f5e25ca7-4d7a-475e-89ab-7d45d5fa1365,Passengers took a 16-hour flight to nowhere after their plane to New York YOU-turned because of an electrical fire at JFK Airport," Philip PilosianShutterstock.com The Air New Zealand flight returned to its departure point. Philip PilosianShutterstock.com A flight to New York headed back to New Zealand because of an electrical fire at JFK Airport. Passengers spent 16 hours on the plane only to return to the airport where they took off. An electrical failure in the terminal caused an outage and a small isolated fire, per JFK Airport. Passengers spent 16 hours on a plane only to return to their departure point because of a fire at the destination airport. An Air New Zealand flight bound for New York on Thursday was forced to make a YOU-turn and head back to Auckland Airport in New Zealand because of an electrical fire in Terminal 1 at JFK Airport, an airline spokesperson told Insider. JFK Airport said on Twitter that an electrical panel failure in the terminal caused a power outage, as well as a small isolated fire, which was extinguished straight away. The incident meant that inbound and outbound flights were affected, the airport tweeted on Thursday. Terminal 1 was closed on Thursday and remained shut on Friday because of electrical issues, per tweets by JFK Airport. The Port Authority was working with airport operators to restore flight operations as soon as possible, the tweets said. The Air New Zealand flight turned back over the Pacific Ocean, almost halfway between New Zealand and the US West coast, according to tracking site FlightAware. The Air New Zealand spokesperson said the airline apologized for the disruption caused. Diverting to another US port would have meant the aircraft would remain on the ground for several days, impacting a number of other scheduled services and customers, the spokesperson said. Passengers were rebooked onto the next available flight to JFK Airport, the spokesperson added. JFK Airport did not immediately respond to Insider's request for comment. The power outage at JFK Airport also caused other flights to divert to their departure airports on Thursday. These included two ITA Airways flights from Milan and Rome, and a Korean Air flight from Seoul, per FlightAware. Flights to nowhere can occur when an aircraft is unable to land at its destination. Passengers on an Emirates flight in January took a 13-hour trip to nowhere because of heavy rain and major flooding at Auckland International Airport, meaning the plane could not land. Continue Reading Show full articles without Continue Reading button for 0 hours.",https://www.msn.com/en-us/travel/news/passengers-took-a-16-hour-flight-to-nowhere-after-their-plane-to-new-york-u-turned-because-of-an-electrical-fire-at-jfk-airport/ar-AA17BL2d,1,"An Air New Zealand flight bound for New York on Thursday was forced to make a YOU-turn and head back to Auckland Airport in New Zealand. An electrical failure in the terminal caused an outage and a small isolated fire, per JFK Airport. Passengers spent 16 hours on the plane only to return to the airport where they took off. The incident meant that inbound and outbound flights were affected, the airport tweeted on Thursday, and remained shut on Friday. The Air New NZ spokesperson said the airline apologized for the disruption caused."
1427,2023-09-12 04:02:07.878,7429684620,air,f5e25ca7-4d7a-475e-89ab-7d45d5fa1365,KLM sues Dutch govt over Amsterdam airport flight cap,"The Dutch arm of Air France-KLM and several other airlines are going to court to challenge the Dutch government's decision to reduce flight capacity at Amsterdam's Schiphol airport. Delta Air Lines Inc and EasyJet Plc are among airlines joining forces with KLM, which accounts for close to 60 of traffic at Schiphol, to safeguard the future capacity of the airport, according to a joint statement published on Friday. The Dutch government announced last year it is planning cut the Amsterdam hub's flight capacity in a bid to reduce noise pollution. The cabinet will impose a limit of 460,000 flights this year with the ultimate goal of reducing the capacity to 440,000 by 2024. ALSO READ: Air France-KLM sees robust bookings after better-than-expected Q4 The brewing confrontation comes amid increasingly tense relationship between airports and airlines. Last year, traffic across hubs in Europe endured chaotic weeks of disruption because of a lack of ground personnel, forcing airlines to cut capacity. KLM said earlier this month that operations last year were held back as a result of the disruptions at Schiphol. Amsterdam's Schiphol airport lost 28 million last year despite what it called a strong recovery in traffic, and the hub's efforts to mitigate the chaos led to additional costs of about 120 million, it said. KLM said the government's decision to cut back operations is unnecessary and violates national, European and international legislation. Last month, Air France-KLM's Chief Executive Officer Ben Smith warned limiting capacity at Schiphol would hurt the Dutch economy. International Air Transport Association is also joining the legal action against the Dutch government, it said in a separate statement.",https://www.livemint.com/companies/klm-sues-dutch-govt-over-amsterdam-airport-flight-cap-11677876027064.html,0,"Delta Air Lines Inc and EasyJet Plc are among airlines joining forces with KLM. The Dutch government announced last year it is planning cut the Amsterdam hub's flight capacity in a bid to reduce noise pollution. KLM said the government's decision to cut back operations is unnecessary and violates national, European and international legislation. Last month, Air France-KLM's Chief Executive Officer Ben Smith warned limiting capacity at Schiphol would hurt the Dutch economy. The brewing confrontation comes amid increasingly tense relationship between airports and airlines."
656,2023-09-12 04:02:52.967,7474622430,weather_generalnews,d6c26322-c693-4647-b047-9722210833b2,"Delhi Sees Heavy Rain, Waterlogging In Several Areas","Earlier on Thursday, rain coupled with thunderstorms lashed parts of the national capital. Nine flights were diverted from Delhi to Jaipur airport on Wednesday. As the national capital witnessed heavy rainfall, several parts of Delhi saw waterlogging on Friday morning. According to the weather forecast by Regional Weather Forecasting Centre (RWFC), Light intensity raindrizzle would occur over and adjoining areas of Yamunanagar, Kurukshetra, Karnal, Rajaund, Assandh, Safidon, Gohana, Rohtak, Mahendargarh, Rewari, Narnaul, Kosli, Bawal (Haryana) Saharanpur, Gangoh, Deoband, Nazibabad, Shamli. Muzaffarnagar, Kandhla, Bijnaur, Khatauli, Sakoti Tanda, Chandpur, Daurala, Meerut, Kithor (YOU.P.) Sidhmukh and Kotputli (Rajasthan) light-intensity raindrizzle will occur during the next 2 hours, as per RWFC New Delhi. Earlier on Thursday, rain coupled with thunderstorms lashed parts of the national capital. PromotedListen to the latest songs, only on JioSaavn.com On Wednesday evening, several parts of Delhi and NCR witnessed sudden rainfall accompanied by thunderstorms. In view of the poor weather conditions, nine flights were diverted from Delhi to Jaipur airport on Wednesday. (Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",https://www.ndtv.com/delhi-news/delhi-sees-heavy-rain-waterlogging-in-several-areas-3908091,1,"Several parts of Delhi saw waterlogging on Friday morning. Earlier on Thursday, rain coupled with thunderstorms lashed parts of the national capital. In view of the poor weather conditions, nine flights were diverted from Delhi to Jaipur airport on Wednesday. The weather forecast says light-intensity raindrizzle will occur over and adjoining areas of Yamunanagar, Kurukshetra, Karnal, Rajaund, Assandh, Safidon, Gohana, Rohtak, Mahendargarh."
