INSERT_DATETIME,URI,TOPIC,TOPIC_URI,EVENTURI,SOURCE,URL,TITLE,BODY,RELEVANCE_CLASS
2023-10-18 15:01:08.386,2023-10-124318248,train,de828de1-8714-4f01-8447-c0c75027b871,eng-8983788,"{'uri': 'news.stv.tv', 'dataType': 'news', 'title': 'STV News', 'ranking': {'importanceRank': 433679, 'alexaGlobalRank': 177426, 'alexaCountryRank': 3907}}",https://news.stv.tv/?p=332139,Trains suspended as life-threatening rain set to batter country,"Storm Babet: Multiple warnings for extreme rain and flooding across Scotland A number of ScotRail services have been cancelled in the north and north east of the country after a rare red weather warning was issued amid a storm alert. The rail operator said that on Thursday, services between Glasgow Queen Street and Aberdeen  Inverness, and between Edinburgh Waverley and Aberdeen  Inverness will be affected by the suspensions. It comes as Storm Babet is expected to hit parts of Scotland on Thursday, with life-threatening downpours forecast. Due to the red weather warning and the likelihood of flooding and poor driving conditions, customers on these routes are advised not to travel as no alternative transport is available. The train operator expects the line closures to last until early Saturday, October 21, however this is dependent on weather conditions and any repair work to railway infrastructure that is required. Other routes across the network will be impacted by precautionary speed restrictions, meaning services may be subject to delay or cancellation. The full list of suspended services are as follows: Customers are advised that they should only travel if necessary on the routes affected by the weather warnings, to expect delays, and to check their journey before travelling on the ScotRail website, mobile app, or social media channels. Customers whose journey has been cancelled or disrupted due to adverse weather can travel one day before or two days after the date on their ticket. Customers can also apply for a fee-free refund on any unused tickets. David Simpson, ScotRail service delivery director, said: The Met Office has issued red and amber weather warnings for Storm Babet, with heavy rain across eastern Scotland, and heavy rain and high winds in central and northern Scotland. We know the impact that the withdrawal of some train services will have on customers, but our first priority is always to ensure the safety of our staff and customers. This is a necessary step to ensure everyone is safety during the severe weather. In order to keep our customers and staff safe, speed restrictions will be in place as a precautionary measure on other routes in Scotland, which will mean longer journey times. For routes in the south and west of Scotland, customers are encouraged to check their journey before setting off, and keep an eye on our website, mobile app, or social media channels for live updates. Storm Babet is set to bring a month's worth of rain within 48 hours across parts of the country. Areas of Angus will see up to two months of rain fall over the same time frame. A red warning is issued only when dangerous weather is forecast and it is very likely there will be a risk to life.",-1
2023-10-18 15:01:08.386,7788900829,warehouse_fire,52d8fd3f-0f55-4e78-af69-fdb8549a289f,eng-8981395,"{'uri': 'fortune.com', 'dataType': 'news', 'title': 'Fortune', 'ranking': {'importanceRank': 213198, 'alexaGlobalRank': 5974, 'alexaCountryRank': 2699}}",https://fortune.com/well/2023/10/18/gaza-hospital-who-to-blame-israel-or-hamas-biden-says-other-team/,"Biden says 'other team' is probably behind the Gaza hospital blast, as world awaits an Israel-Hamas smoking gun","With all eyes around the world on the quickly escalating Israel-Hamas conflict in the Gaza strip -- and debating who is behind the explosion that killed hundreds at a Gaza hospital -- it seems the White House is coming to a conclusion: Israel was not the culprit. President Joe Biden said Wednesday that the other team was behind the blast, citing data he had been shown by the YOU.S. Defense Department. Preliminary estimates of deaths at Al Ahli Arab Hospital vary from 200 to 800, World Health Organization officials said at an emergency press conference late Tuesday. Injuries were estimated to be in the hundreds as well. Aside from patients and health care workers, many civilians were also sheltering in and around the hospital, expecting it to be spared from attacks, as mandated by international humanitarian law. Palestinian officials had been quick to say it was an Israeli airstrike, but the Israel Defense Forces say that intelligence traces the attack to a failed Palestinian Islamic Jihad rocket. As he met with Israel Prime Minister Benjamin Netanyahu in Israel on Wednesday, Biden said it appeared as though the attack was done by the other team, according to multiple news outlets. But before Biden departed for the meeting, the YOU.S. government had not yet drawn a conclusion as to who was to blame for the bombing, CNN reported Wednesday, citing an anonymous YOU.S. official. The question of who was behind the attack has massive implications, with the Arab world in particular on edge, with protests in support of Palestine in many neighboring countries. WHO Director General Tedros Adhanom Ghebreyesus was midair during the organization's emergency press conference Tuesday, but expressed his shock and condemnation through Dr. Michael Ryan, the organization's executive director of health emergencies, who spoke for him. But Ghebreyesus tweeted shortly after the attack, condemning it and calling for the immediate protection of civilians and health care, as well as for Israel's evacuation order for northern Gaza to be reversed. Al Ahli Arab Hospital was one of 22 hospitals in the north end of the Gaza Strip facing evacuation orders from Israeli forces -- an order the WHO, UN, and other agencies have said is impossible to carry out due to insecurity in the area, the critical condition of many patients, a lack of ambulances, and a lack of alternative shelter, among other factors. Combined, hospitals in northern Gaza were treating more than 2,000 patients, WHO officials said Tuesday. Since the beginning of the war October 7, four Palestinian hospitals have been rendered inoperable due to damage or targeting, they said Wednesday, adding that its Gaza warehouse was now barren. Health workers are having to make impossible choices to ration what little they have left in supplies, the agency said in a Wednesday tweet, adding that health workers are operating without anesthetics. Israeli forces on Friday ordered the evacuation of all people in northern Gaza in 24 hours as they prepared for a large-scale ground offensive. As of Wednesday, that offensive had not yet started. Many speculated it would not occur before Biden's meeting with Netanyah on Wednesday. Egypt's Rafah crossing, the only potential entry point into Gaza, remained closed Wednesday, preventing thousands of pounds of humanitarian aid from entering the war-torn territory.",-1
2023-10-18 15:01:08.386,7788754109,train,6b5cf57d-a8e4-4b7e-ba46-61a84d465edd,eng-8981937,"{'uri': 'thepattayanews.com', 'dataType': 'news', 'title': 'The Pattaya News', 'ranking': {'importanceRank': 468142, 'alexaGlobalRank': 233602, 'alexaCountryRank': 6543}}",https://thepattayanews.com/2023/10/18/cheaper-electric-train-fares-in-bangkok-on-some-routes-begin-early/,Cheaper Electric Train Fares in Bangkok on Some Routes Begin Early - The Pattaya News,"The Thai Minister of Transport enacted 20-baht electric train rides effective on October 16th, 2023, initially, the MRT Purple Line: Tao Poon - Khlong Bang Phai, and Red Line: Bang Sue-Rangsit and Bang Sue-Taling Chan. However, according to the previous statement from the Mass Rapid Transit Authority of Thailand (MRTA) governor, the 20-baht electric train rides project would be effective December 1st, 2023. The burden of rising living expenses due to the ongoing war in the Middle East affected the price of oil and directly affected car users. Therefore, The Minister of Transport expedited the process to reduce the cost of transportation and attract people to use public transportation. Moreover, it would alleviate a PM 2.5 problem with a Transport Future for All policy: For people, for society, for the environment, and for future generations. Due to the in-process-development system, a cross-platform transportation fare between the Purple Line and the Red Line would need to be paid separately. The system and software reportedly would be fully operational within November 2023. The cross-platform transportation had to be within 30 minutes after the first train ride and EMV Contactless cards could be used only.",-1
2023-10-18 15:01:08.386,7788928906,train,de828de1-8714-4f01-8447-c0c75027b871,eng-8983993,"{'uri': 'irishexaminer.com', 'dataType': 'news', 'title': 'Irish Examiner', 'ranking': {'importanceRank': 306365, 'alexaGlobalRank': 36116, 'alexaCountryRank': 105}}",https://www.irishexaminer.com/news/munster/arid-41250856.html,Midleton flood 'worst in living memory' as historic East Cork pub under metre of water,"Householders who were trapped in their homes had to be escorted out by emergency services in the likes of Midleton, Killeagh, and Cloyne, as more than 100mm of rain fell from last night all the way through to this afternoon. With the water chest high in Midleton's Darling Buds pre-school, a spokesperson for the creche said that adults helped remove children by piggy back after staff and children became trapped inside. Similarly, parents had to wade through waters at the Educate Together National School to collect their children. The main road in Midleton was under 3ft feet of water, while the town itself saw roads both in and out of the area become impassable after the Owenacurra River burst its banks -- requiring assistance from the army and civil defence. Problems were exacerbated shortly after lunch time, when the wind and rain caused two power outages, one on either side of the town. ESB engineers were unable to wade through the floods before three more faults were recorded in the afternoon -- including one near the community hospital in the town. Local Councillor Susan McCarthy described bins, traffic cones, benches and even a skip floating on the street. Its even dangerous wading through it, she said. At one stage a man was seen kayaking down the street to check on people trapped in their businesses and homes. Locals stranded Independent Cllr Liam Quaide told the Irish Examiner that the flooding in Midleton really shows our vulnerability to climate change and the need for adaptation as well as mitigation. I was bringing my daughter home from CUH and I cannot get to (our home) in Broomfield, because both ways are blocked. We are stranded in the Market Green centre where some people we have met have been waiting here for several hours to get home. All rail services between Cork and Cobh and Cork and Midleton were suspended due to water on the line. Cork County Council confirmed that more than 100 properties were flooded in the town. One of those belonged to Himalaya Yoga Studio on Mill Road. Maeve O'Brien from the studio said that they had been hit very hard She explained that due to the floods, they could not reach the studio to fully assess the damage. It is a huge blow for all the businesses in Midleton. Ideally, we would open our doors tomorrow but we are not too hopeful of that. Ms O'Brien said it was absolutely crucial that all stakeholders worked together to get a flood relief system in place to prevent future issues. Councillor Danielle Twomey said the flood was the town's worst in living memory. She was one of the parents of children at Midleton's Educate Together School who had to wade through knee-high water along Mill Road to get to the school. We drove our cars as near to the school as we could and then just waded out to the school, she said. I was there to collect my two daughters and although the school itself was not flooded, the road to it was like a river. The water subsided after a while but when we went to collect our children, we had no idea how bad things would be. We did not want to take any chances. So, you had this scene of parents wading through flood waters with children on their backs. I have never seen anything like it in my life. She said several estates and Midleton hospital were under a metre of water and access to Midleton from Cloyne was cut off. A rest centre was established in the town's community centre to facilitate those who required evacuation. Meanwhile, in Killeagh, the historic Thatch pub and restaurant was under a metre of water after the adjacent River Dissour burst through at about 9.30am. Proprietor Debbie Walsh said the water was unstoppable and had nowhere to go as it swept across the beer garden and into the bar, kitchen, and store room. The pub, which dates from the mid 1600s, was almost destroyed by fire prior to Debbie and husband Brian taking it over seven years ago. The force of the water was actually dangerous, Debbie recalls. The devastation has been extremely distressing and we are exhausted, she added, but we will clean up and carry on. We are likely to be closed over the coming days, she added. Imokily GAA secretary Patrick Mulcahy said the flood was the worst in the area and that many older generations have never seen this before. Youghal's town centre escaped flooding but some estates and walls in the town were severely affected. A section of wall that was being restored and scaffolding collapsed on Lighthouse Hill, while a huge pond was created at Chestnut Drive estate, as fast-flowing torrents ran downhill. Resident Shane Tobin said a wall collapse redirected almost two metres of water from the rear of his house at the last minute. Meanwhile, James O'Connor TD, who surveyed flood damage in Midleton, said questions need to be asked about why there was not a red weather warning. The level of damage to Midleton and surrounding areas as far as Glanmire has been devastating There is a real sense of destruction, he said. Business have been flooded, the Defence Forces are here on the street, the community hospital has been evacuated and I see school children being brought up the main street on the back of trailers. People were not expecting this and it begs the question: why there not a red warning provided last night? Where was the red warning? The amount of water has been biblical. Water is running out under doors on the Main Street. It is just soul destroying. The Main Street is ruined. He said that what is needed now is support for families and businesses hit by the flooding. People are needing support and luckily the Park Hotel has started hosting families.",-1
2023-10-18 15:01:08.386,7788817880,maritime,e72e6c9c-5584-40d1-9164-9240e6afd117,eng-8977032,"{'uri': 'hellenicshippingnews.com', 'dataType': 'news', 'title': 'Hellenic Shipping News', 'ranking': {'importanceRank': 349534, 'alexaGlobalRank': 66053, 'alexaCountryRank': 1450}}",https://www.hellenicshippingnews.com/ukraine-grain-exports-down-so-far-2023-24-ministry/,Ukraine grain exports down so far 202324 -ministry,"Ukraine's grain exports are down to 7.8 million metric tons so far in the 202324 July-June season, agriculture ministry data showed on Wednesday. The ministry said traders by October 21 last year had exported 11.5 million tons. The ministry said 1.05 million tons of grain were exported in the first 17 days of October. Ukraine exported 2.83 million tons from October 1-21 a year ago. The ministry gave no explanation for the decrease. Traders and farmers unions have said blocked Ukrainian Black Sea ports and Russian attacks on Ukrainian ports on the Danube River are the main reasons for lower exports. The exported volume included 3.99 million tons of wheat, 3.04 million tons of corn and 654,000 tons of barley. Ukraine has traditionally shipped most of its exports through its deep water Black Sea ports. A deal brokered by the United Nations and Turkey allowing such exports collapsed in July when Russia withdrew, saying its demand that sanctions be lifted on its grain and fertiliser exports had not been met. Ukraine's shipping sources said 34 cargo vessels had entered a fledgling Black Sea shipping corridor as Kyiv steps up a push to defy the de-facto Russian blockade. Ukraine can also export limited volumes through small river ports on the Danube and via its western land border with the European Union. Ukraine is expected to harvest 79 million tons of grain and oilseed in 2023, with 202324 exportable surplus totals of about 50 million tons. Source: Reuters (Reporting by Pavel Polityuk; editing by Jason Neely)",-1
2023-10-18 15:01:08.386,7788899742,train,de828de1-8714-4f01-8447-c0c75027b871,eng-8976374,"{'uri': 'news.yahoo.com', 'dataType': 'news', 'title': 'Yahoo News', 'ranking': {'importanceRank': 40, 'alexaGlobalRank': 9, 'alexaCountryRank': 5}}",https://news.yahoo.com/red-alert-storm-babet-250mm-182849536.html,Red alert as Storm Babet's 250mm rain expected to cause major flooding,"The Met Office issued a rare red weather warning for rain ahead of Storm Babet spreading across the UK, posing a risk to life. The warning is in place for parts of Scotland from 6pm on Thursday until midday on Friday. Yellow alerts for rain cover eastern England and the rest of Scotland on Friday. The agency said the storm could cause exceptional rainfall reaching up to 250mm. The red warning states there is danger to life from fast flowing or deep floodwater in Aberdeenshire and Angus, with extensive flooding and road closures expected. Humza Yousaf, Scotland's First Minister, said that travel should be avoided unless absolutely essential. Mass rail closures were announced for eastern Scotland until Friday, with lines from Perth to Aberdeen and to Aviemore not running. Network Rail said trains between Aberdeen and Elgin are also cancelled. Aberdeenshire Council alerted residents to significant supplies of sandbags that it had stockpiled to protect their homes from flooding. The red warning alerts people to the danger of communities becoming cut off for days. The last red warning for rain was in February 2020 when Wales was hit by Storm Dennis. The Rivers Wye and Severn reached their highest recorded levels and more than 1,400 homes and businesses flooded. At least three people died. On Wednesday trains were suspended in Greater Manchester after a tree was brought down onto overhead power lines. Cornwall and Devon were battered by gale force winds and heavy rain with 45mph gusts in coastal areas of the South. The Royal National Lifeboat Institution warned that the storm poses a safety risk to those visiting the coast and that the public should exercise extreme caution, particularly near cliffs, seafronts and piers. In the Devon town of Paignton, several beach huts were destroyed in the extreme weather as waves battered the seafront. Sean White, of watersports company and community club Soak Lifestyle, in Torquay, said on Facebook: One of our shipping containers, our sports one, ended up in the ocean and the other one has been bashed like a washing machine. We have lost everything, and obviously that is totally devastating and we are lacking words among all the emotion right now. Mr White added that he did not account for the storm surge which made an extra metre or so tide that we had not anticipated. He and his business partner Laura Rickard managed to arrange for cranes to save the container that held their coffee shop by lifting it away from the seafront. County Cork in Ireland, where residents posted videos of flooding to social media, experienced 75mm of rainfall across the course of the day, the Met Office said. The area's mayor, Frank O'Flynn, claimed it was equivalent to a month's worth.",-1
2023-10-18 15:01:08.386,7788988155,train,de828de1-8714-4f01-8447-c0c75027b871,eng-8975323,"{'uri': 'denverpost.com', 'dataType': 'news', 'title': 'The Denver Post', 'ranking': {'importanceRank': 183812, 'alexaGlobalRank': 2690, 'alexaCountryRank': 494}}",https://www.denverpost.com/2023/10/18/interstate-25-pueblo-train-derailment-update/,Southbound Interstate 25 to reopen following fatal train derailment north of Pueblo,"Southbound Interstate 25 north of Pueblo will reopen this afternoon after a fatal train derailment and bridge collapse on Sunday closed the roadway in both directions for three days. Gov. Jared Polis announced in a news release and on social media just before 1 p.m. that southbound I-25 will reopen this afternoon. Colorado Department of Transportation crews are working to make avaiable at least one lane of northbound I-25 by Thursday evening, according to state officials. Federal investigators said Tuesday they believe the derailment was caused by a broken rail and that the derailment happened before the bridge collapsed. The incident killed a truck driver, 60-year-old Lafollete Henderson of Compton, California, and covered the roadway with coal and at least six overturned train cars. Drivers should expect a rough driving surface on the damaged roadway as it is being milled and repaved, according to state officials. There will be slightly reduced speed limits in the area. This is a developing story and will be updated.",-1
2023-10-18 15:01:08.386,7789048611,maritime,e72e6c9c-5584-40d1-9164-9240e6afd117,eng-8983889,"{'uri': 'maritime-executive.com', 'dataType': 'news', 'title': 'Maritime Executive', 'ranking': {'importanceRank': 369680, 'alexaGlobalRank': 87832, 'alexaCountryRank': 44033}}",https://maritime-executive.com/article/one-crewmember-inured-and-cruise-ship-evacuated-due-to-fire-docked-in-maine,One Crewmember Inured and Cruise Ship Evacuated Due to Fire Docked in Maine,"A fire broke out on a small cruise ship shortly after docking in Portland, Marine this morning, October 18. One crewmember was reportedly seriously injured and transferred to a local hospital with burns, but the injuries are being called non-life threatening. The cruise ship, the Ocean Navigator (4,954 gross tons) operated by Hornblower Group's American Queen Voyages, had docked in Portland around 7:00 a.m. arriving from Halifax, Canada at the end of a coastal cruise in Canada. The local fire department said it received reports of smoke coming from the ship at around 7:25 a.m. and dispatched its units. By the time they arrived, the crew was controlling the fire and they assisted in ensuring the fire was out. People working at the terminal told local reporters that they saw smoke and believed they heard an explosion from within the ship. The cruise line and YOU.S. Coast Guard are reporting that it was a generator fire and it was contained to the engine room. There were 128 passengers and 82 crew aboard the ship. The passengers were all evacuated into the terminal and according to city officials have now been moved to a local hotel. None of the passengers were injured. A Coast Guard prevention and response team reported to the site as well as the ATF, Maine State Fire Marshall, Maine State Fire Investigator, Portland Fire Department, and Customs and Border Patrol. At the last report, teams were working to vent the cruise ship while an investigation was also underway. The Ocean Navigator was built in 2001 as a modern version of an American coastal cruise ship and was to have been named Cape Cod Light. Her original owners went bankrupt, and she sat idle for years before a series of different operators managed the ship. She is 286 feet in length with accommodations for 202 passengers. The ship was due to spend tonight in Portland and embark passengers tomorrow for a 10-day cruise to Massachusetts, Rhode Island, and Maine before ending in Saint John, New Brunswick, Canada on October 27. Passengers for the trip have already arrived in Portland and were due to spend tonight in a hotel before boarding the cruise ship. Based on the company's website, the upcoming cruise was her last scheduled trip. Earlier this year, American Queen Voyages announced they would discontinue the operation of the Ocean Navigator and her sister ship Ocean Voyager focusing instead on the company's river cruises. The sister ship Ocean Voyager is in Halifax today and is due to arrive in Portland on October 20. The YOU.S. Coast Guard reported this afternoon that the Ocean Navigator is currently not permitted to sail as there is an ongoing investigation. American Queen Voyages reports they are assessing the damage and local weather conditions to determine if the next cruise will sail as scheduled.",-1
2023-10-18 15:01:08.386,7788980254,maritime,e72e6c9c-5584-40d1-9164-9240e6afd117,eng-8975323,"{'uri': 'poandpo.com', 'dataType': 'news', 'title': 'POST Online Media', 'ranking': {'importanceRank': 598874, 'alexaGlobalRank': 785514, 'alexaCountryRank': 412642}}",https://www.poandpo.com/news/broken-rail-likely-caused-coal-train-derailment-prior-to-bridge-collapse-near-pueblo,Broken rail likely caused coal train derailment prior to bridge collapse near Pueblo,"That is according to a preliminary statement from the National Transportation Safety Board, the federal agency charged with determining what happened and why. Thirty of the 104 rail cars tumbled off the tracks over the interstate Sunday afternoon, crushing a semi-truck and spilling coal all over the roadway. The train derailed just before 3:30 p.m. as it was crossing I-25 on an overpass 4 miles north of Pueblo, officials said. A semi-truck was crushed in the accident, killing the driver. No injuries were reported for the train crew. I am saddened that a life was lost in this train derailment and send my condolences to his family and loved ones, Governor Jared Polis, who is scheduled to visit the crash site Wednesday morning, said in a statement. Our immediate priority is safely getting the highway open both ways. The Pueblo County Coroner's office has identified the truck driver as Lafollette Henderson, 60, of Compton, CA. He is survived by six children and 15 grandchildren, said his daughter, Endaya Jenel. Governor Polis announced that the closed section of southbound is being re-paved and is expected to re-open this afternoon. CDOT is working to re-open northbound I-25 no later than tomorrow evening and if necessary CDOT may open a single lane prior to re-opening the entire road. Motorists should expect a rough driving surface as the damaged roadway will be milled. There will be slightly reduced speed limits temporarily through the stretch to ensure the safety of drivers. Governor Polis toured the damage with the National Transportation Safety Board alongside local legislators, county leaders, staff from the state's federal delegation, and Mayor Gradisar of Pueblo. The preliminary investigation has revealed that a broken rail just east of the bridge over I-25 likely caused the coal train to derail and the bridge to collapse. Our top priority is to get the highway back open so that people can continue traveling safely between Colorado Springs and Pueblo, and the rest of the state, said Governor Polis. Though the investigation is still ongoing, it remains clear that investments in rail are needed now more than ever and Colorado has been working for months to take advantage of historic safety and rail funding from the federal government. ",-1
2023-10-18 15:01:08.386,7789092960,air,f530b349-ebfe-4bd0-bc0c-11d61b7bbac8,eng-8975219,"{'uri': 'syrianobserver.com', 'dataType': 'news', 'title': 'The Syrian Observer', 'ranking': {'importanceRank': 676578, 'alexaGlobalRank': 1472443}}",https://syrianobserver.com/news/85730/damascus-international-airport-resumes-activity-after-israeli-bombing.html,Damascus International Airport Resumes Activity after Israeli Bombing - The Syrian Observer,"This decision comes after necessary repairs were carried out to address the damage inflicted by Israeli airstrikes, Enab Baladi writes. The Syrian government has announced the resumption of operations at Damascus International Airport as of noon on Wednesday. This decision comes after necessary repairs were carried out to address the damage inflicted by Israeli airstrikes on the airport the previous week. On the afternoon of Thursday, October 12th, Israel conducted simultaneous missile strikes on the international airports of Aleppo and Damascus, resulting in damage to their airstrips and rendering them non-operational. The Syrian state news agency, SANA, quoted an unnamed military source who reported, At approximately 13:50 on Thursday afternoon, the Israeli enemy carried out a coordinated missile attack on the international airports of Aleppo and Damascus, causing significant damage to their runways, forcing them out of service. Axis of Resistance Takes Three Steps to Reassure Israel in Southern Syria On October 13th, the Syrian Ministry of Transport announced the reopening of Aleppo International Airport, effective the following morning. The ministry stated that air traffic at Aleppo Airport would resume after repairs were made to address the damage caused by Israeli airstrikes. The announcement also indicated that airlines could schedule flights and manage passenger services through Aleppo Airport. Additionally, Latakia International Airport would continue to operate as an alternative to Damascus International Airport, which was still undergoing repairs to address the damage caused by the simultaneous Israeli attacks. Subsequently, on October 14th, Israeli aircraft once again targeted the airport, resulting in its closure. However, the Ministry of Transport reported that the airport was able to resume operations on October 16 after necessary repairs were made to the runway. Simultaneous bombardment According to a high-ranking security source who spoke to the Russian agency Sputnik on condition of anonymity, Israeli aircraft launched several missiles from over the occupied Palestinian territories, targeting the vicinity of Damascus airport. Simultaneously, other planes fired guided missiles at Aleppo International Airport from positions over territorial waters off the Syrian coast. In a rare admission, the Israeli army spokesman, as reported by Channel 10, confirmed that the airstrikes on the airports in Aleppo and Damascus were a direct response to mortar shells fired from Syria. The spokesman also issued a warning of further strikes on additional targets in the coming days. As a result of the bombing, the plane carrying the Iranian foreign minister had to alter its course and return to Tehran since it was unable to land at Syrian airports, according to a diplomatic source cited by Sputnik. This marks the second such incident in October. On the 3rd of the same month, Israeli warplanes conducted an airstrike in eastern Syria, specifically targeting military sites near Deir-ez-Zor governorate. This attack resulted in injuries to military personnel, as reported by SANA.",-1
