INSERT_DATETIME,URI,TOPIC,TOPIC_URI,EVENTURI,SOURCE,URL,TITLE,BODY,RELEVANCE_CLASS,METADATA,ARTICLE_HIERARCHY
2023-09-30T09:00:52.605Z,7760044306,air,f530b349-ebfe-4bd0-bc0c-11d61b7bbac8,eng-8938220,"{'uri': 'latestly.com', 'dataType': 'news', 'title': 'LatestLY', 'ranking': {'importanceRank': 269077, 'alexaGlobalRank': 17111, 'alexaCountryRank': 1355}}",https://www.latestly.com/agency-news/india-news-bomb-threat-triggers-emergency-landing-of-akasa-flight-in-varanasi-5451591.html,Akasa Air Flight From Mumbai Makes Emergency Landing at Varanasi Airport After Bomb Threat; Nothing Objectionable Found  LatestLY,"Varanasi, September 30: Tensions erupted at Varanasi Airport after a flight of Akasa Air from Mumbai to Varanasi received a bomb threat through a tweet on social media. The Air Traffic Control informed the captain of the plane about the bomb threat after which all possible emergency procedures were followed and the plane was landed at Varanasi. The aircraft landed on a separate runway and passengers were disembarked immediately. CISF personnel conducted a thorough search of the plane for about an hour. Nothing was found during checking. SpiceJet Flights Makes Emergency Landing at Kolkata Airport Following Crack on Window-Glass. Varanasi Airport Director Puneet Gupta said Everything is normal. When information about the bomb was received, the airport authority took full precautions and checked and everything was found to be normal. This flight was coming to Varanasi only and it had to land here. Yes as a precautionary measure it landed on a separate runway.",1,{'article_hierarchy': 'related_article'},related_article
2023-09-30T09:00:52.605Z,7760379043,air,f530b349-ebfe-4bd0-bc0c-11d61b7bbac8,None,"{'uri': 'arynews.tv', 'dataType': 'news', 'title': 'ARY NEWS', 'ranking': {'importanceRank': 239784, 'alexaGlobalRank': 10415, 'alexaCountryRank': 104}}",https://arynews.tv/mice-damage-internet-cables-at-karachi-airport/,Mice damage internet cables at Karachi airport,"KARACHI: FIA immigration services were disrupted as mice damaged internet cable at Karachi Airport, ARY News reported citing sources. According to sources, the cable was damaged on several spots which resulted in the disruption of FIA immigration services for several hours. Sources said that the immigration services of five flights were carried out manually whereas the immigration system was run by the FIA internet devices however the CAA did not repair the cables yet. Furthermore, sources revealed that several flights faced delays as a result of the damaged internet cable. On the other side, Karachi Airport Manager Irfan Khan denied the cable damage by mice, saying that the cable fault occurred at 2 a.m. late-night however CAA team is finding out the because of cable damage. Earlier, the pilots reported an increase in the incidents of laser light strikes on airplanes while landing or taking off at Jinnah International Airport, Karachi. Sources told ARY News that the pilots - flying national and international airplanes - made several complaints about an increase in the incidents of laser light strikes at Karachi's Jinnah International Airport during the last week. The mischief can disrupt a pilot's vision and because distraction or disorientation during the takeoff and landing, subsequently risking the lives of those onboard.",1,{'article_hierarchy': 'related_article'},related_article
2023-09-30T09:00:52.605Z,7760376764,air,f530b349-ebfe-4bd0-bc0c-11d61b7bbac8,None,"{'uri': 'mirror.co.uk', 'dataType': 'news', 'title': 'Mirror', 'ranking': {'importanceRank': 174474, 'alexaGlobalRank': 1785, 'alexaCountryRank': 1713}}",https://www.mirror.co.uk/news/world-news/brit-43-arrested-palma-airport-31072490,"Brit, 43, arrested at Palma Airport after sexually assaulting attendant","A British man has been arrested on suspicion of sexually assaulting an air steward on a flight from Newcastle to Palma. He was held after allegedly touching his bottom and nipples in a lewd way during the flight. He is said to have got up from his seat and approached the flight attendant in an affectionate way before touching him. Other passengers helped restrain him until the plane landed in Majorca. Police were waiting for the man, believed to be 43 years old, and took him away in handcuffs after radioing for reinforcements after he allegedly became aggressive towards the first officers to arrive. The detainee, who was wearing a white pair of shorts and a T-shirt as well as matching white sandals with black socks when he was arrested, has not been named. The bizarre incident occurred Friday and the suspect was taken to court in the Majorcan capital today for a hearing which took place behind closed doors. Respected local newspaper Ultima Hora reported he initially told the investigating judge he had wanted to play a joke on the air steward but subsequently offered conflicting versions of why he had acted the way he had which were incoherent. Passengers helped to restrain him until they landed ( Image: SOLARPIX.COM) He was released on bail pending an ongoing investigation. It was not immediately clear today if he has been banned from leaving Majorca and had his passport taken away or is free to leave the island while he continues to be probed on suspicion of sexual assault and resisting arrest. The airline operating the flight has not been named. A spokesman for the Civil Guard in Majorca said: I can confirm the arrest of a British man yesterday at Palma Airport on suspicion of sexual assault. He allegedly sexually assaulted a flight attendant on a plane from Newcastle to Palma. Last month a British holidaymaker was arrested on suspicion of sexually assaulting an air stewardess before spitting on her boss on a Jet2 flight from Manchester to Ibiza. The 42-year-old was held by police after reaching the island. Jet2 confirmed after the arrest it had banned him from flying with them. As well as prosecution the tourist was also warned he faced a heavy fine. Overnight it emerged four men on an easyJet plane from Manchester to Tenerife had been hauled off an aircraft yesterday after it had to be diverted to Lanzarote. Spanish air traffic controllers said the reroute occurred because of violent passengers on board. And in another incident yesterday two British women described as drunk were met by police around 1.30pm as a second easyJet plane coming from Luton landed in Fuerteventura. Local reports said they had been identified by cops after being accused of an air safety breach.",1,{'article_hierarchy': 'related_article'},related_article
2023-09-30T03:00:41.4Z,7760005616,air,f530b349-ebfe-4bd0-bc0c-11d61b7bbac8,None,"{'uri': 'news.yahoo.com', 'dataType': 'news', 'title': 'Yahoo News', 'ranking': {'importanceRank': 2687, 'alexaGlobalRank': 9, 'alexaCountryRank': 5}}",https://news.yahoo.com/jetblue-again-offer-nonstop-flights-090604995.html,JetBlue to again offer nonstop flights to Los Angeles from Palm Beach International Airport,"The resumption of year-round JetBlue service is expected to begin daily December 15 and continue through at least April, according to Joe Harrington, communications director for PBIA. We are hopeful that if the community really utilizes this service, JetBlue would consider expanding it, said Harrington, noting that some level of service is expected to begin in November before the daily service begins. JetBlue suspended the nonstop route between West Palm Beach and LAX in April 2022 after nearly 18 months of service four times a week. JetBlue officials attributed the cutback to the high price of fuel at that time. ALSO AT PBIA: Delta to add winter flights from PBI to Westchester, N.Y.; service starts in November Aviation consultant Jeff Miller said then that such moves are part of the business, adding they are a tool to ensure the profitability of the airline. Flights with one stop are currently available at PBIA, but they can take more than 10 hours, making them impracticable for many travelers. Air traffic throughout the country has surged since the lows in 2020 when COVID-19 affected air travel. PBIA is experiencing record passenger volume, according to Laura Beebe, director of airports. In July, 539,873 passengers flew out of the airport, a 17 increase over the same month in 2022. The year-to-date figure was 7.4 million, an increase of 15. Jeremy Smith, a professor of transportation and logistics at Keiser University, said it is clear that fear of catching COVID on airplanes has eased, resulting in a significant increase in travelers vacationing throughout the country but particularly in South Florida. Consumers had been very afraid to fly, he noted. That is no longer the case. IN FORT LAUDERDALE: New low-cost nonstop flights coming to FLL: Canadians, UF students to benefit More than 1 million passengers used JetBlue from January through July, accounting for 28 of PBIA's volume, making it the No. 1 carrier. In addition to the new JetBlue service, other seasonal flights returning to the airport include service to Minneapolis, Chicago, Houston and Washington-Dulles International Airport. PBIA reported that J.D. Power has ranked it as the nation's fourth-best medium-sized airport. We are honored and thrilled to be recognized by J.D. Power, Beebe said. This placement underscores our commitment to a world-class, stress-free customer experience. IN FORT LAUDERDALE: Expanded seasonal service coming to FLL; flights to Ronald Reagan added J.D. Power examined food and beverage options at the airport as well as baggage claim and terminal facilities, among other factors. PBIA is currently adding more restaurant and retail space as part of a Concourse B expansion. The project will also result in two new passenger jet bridges, expanded restrooms, adult changing areas, a sensory area for those with sensitivities and dedicated nursing stations. Mike Diamond is a journalist at The Palm Beach Post, part of the USA TODAY Florida Network. He covers Palm Beach County government and transportation. You can reach him at mdiamondpbpost.com. Help support local journalism. Subscribe today This article originally appeared on Palm Beach Post: JetBlue to offer nonstop flights to Los Angeles from West Palm Beach",0,{'article_hierarchy': 'main_article'},main_article
2023-10-02T21:00:55.955Z,7763941865,air,f530b349-ebfe-4bd0-bc0c-11d61b7bbac8,None,"{'uri': 'nzherald.co.nz', 'dataType': 'news', 'title': 'NZ Herald', 'ranking': {'importanceRank': 201857, 'alexaGlobalRank': 4357, 'alexaCountryRank': 9}}",https://www.nzherald.co.nz/travel/auckland-airport-trials-screening-express-lane-to-cut-down-unacceptable-wait-times/AL5TJGJEABBXTPUS65LRWWPGS4/,Auckland Airport trials screening Express Lane to cut down unacceptable wait times - NZ Herald,"Just over 6000 passengers at Auckland's international arrivals have been invited to trial a new Express Lane, aimed at cutting down unacceptable wait times at the border. This comes just weeks after some passenger screening times approached two hours at New Zealand's busiest international arrivals hall, on September 17. Arriving at the New Zealand border, there are many checks and factors that can stack up to a substantial waiting time. With customs and biosecurity screening requirements to clear -- on top of waiting for checked luggage to be processed and delivered to the arrivals hall -- the airport is trialling ways to ease congestion at Auckland's many layers of border screening. Now it is hoped a biosecurity Express Lane path might allow some travellers with nothing to declare to cruise through required checks and, hopefully, speed up the process for all arrivals. Since September 22, 6286 passengers have been processed under the trial. Northern regional commissioner for the Ministry for Primary Industries, Mike Inglis, said the trial was already having an effect on wait times during the busy school holiday period. Open to New Zealand passengers identified as low risk in terms of biosecurity, Inglis says it is among measures that have already contributed to lowering processing times. Nearly 40 per cent of arrivals to Auckland are now eligible to pass through the Express Lanes. Biosecurity processing has been working well at international airports for arriving passengers over the holidays. The average biosecurity processing time, from entering the biosecurity lane to exiting risk assessment, has been close to nine minutes during the holiday period, says Inglis. This is down from an average of 13 minutes and 16 seconds in February. Some international arrivals, invited to take part in the trial, without checked luggage told the Herald they were able to pass through the terminal from plane to arrivals hall in 10 minutes, saying it was a great improvement on last month. Inglis says the Express Lane is still subject to checks by detector dogs, which have found undeclared fruit and sandwiches among the trial arrivals. We remind travellers that they should do the right thing and declare any risk items to avoid fines and delays, he says. However, while biosecurity screening has been streamlined by the new Express Lane queue, Customs wait times have slowly been creeping up. In some cases passengers are already unacceptably delayed before they even reach biosecurity screening. New Zealand Customs service standards aim for a maximum of 45 minutes for processing passengers from landing through to passport controls. However, there have been points in the past year where multiple arrivals, passenger declarations and bottlenecks of services have led to processing exceeding this. At three points in the past fortnight, arrivals met or or exceeded the maximum wait time before they had even cleared passport control. Disruption during the week of September 11 meant average wait times approached 44.3 minutes for 90 per cent of passengers. The International Civil Aviation Organisation (ICAO) gives 45 minutes as the maximum wait for normal customs inspection. The optimal, expected processing time is just 20 minutes. A spokesperson for Auckland Airport says the New Zealand arrivals process is a complex one with many moving parts. The arrivals process is made up of a chain of organisations operating together in a system -- airlines, ground handlers, Customs, Biosecurity New Zealand and Auckland Airport, they said. Overall the new trials to streamline screening, including the biosecurity Express Lane, had led to faster processing during school holidays. The median time for the arrivals process for the first week of the school holiday was 10 per cent faster than for the previous six months. Everyone has been collectively pulling out all the stops to ensure travellers have a smooth experience over the busy school holiday period, saying that the Biosecurity Express Lane had shown early signs of success. It is hoped the trial might be in place for a busy expected summer travel period ahead and be rolled out to other international airport arrivals.",0,{'article_hierarchy': 'related_article'},related_article
2023-10-03T21:00:55.935Z,7765887179,warehouse_fire,52d8fd3f-0f55-4e78-af69-fdb8549a289f,None,"{'uri': 'dailyexpress.com.my', 'dataType': 'news', 'title': 'Daily Express Sabah', 'ranking': {'importanceRank': 453489, 'alexaGlobalRank': 198923, 'alexaCountryRank': 1589}}",https://www.dailyexpress.com.my/news/221046/warehouse-in-kionsom-razed/,Warehouse in Kionsom razed,"Kota Kinabalu: A warehouse housing five business premises comprising a carpet cum second-hand clothes shop, furniture warehouse, a hardware store, shop selling car spare parts and a second-hand clothes shop was destroyed in a fire (pic) along Jalan Kionsom, Kg Tatahan, on Tuesday. Nobody was injured in the incident. ADVERTISEMENT Firefighters from Lintas and Kota Kinabalu were deployed to the scene following a 1.16pm distress call. Police were also at the scene to assist. The fire was brought under control at 3.33pm. SPONSORED CONTENT Daily Express members: Enjoy 1 for 1 signature cocktails and more at Hyatt Centric Kota Kinabalu Kota Kinabalu: DAILY EXPRESS is partnering with Hyatt Centric Kota Kinabalu to offer an exclusive deal for our members. Read more The because of fire and estimated loss are being investigated. Stay up-to-date by following Daily Express's Telegram channel. Daily Express Malaysia  Follow us on Instagram and join our Telegram andor WhatsApp channel(s) for the latest news you do not want to miss. ADVERTISEMENT  Do you have access to the Daily Express e-paper and online exclusive news? Check out subscription plans available.",1,{'article_hierarchy': 'related_article'},related_article
2023-10-03T21:00:55.935Z,7765703457,air,f530b349-ebfe-4bd0-bc0c-11d61b7bbac8,None,"{'uri': 'finance.yahoo.com', 'dataType': 'news', 'title': 'Yahoo! Finance', 'ranking': {'importanceRank': 90000, 'alexaGlobalRank': 9, 'alexaCountryRank': 5}}",https://finance.yahoo.com/news/amazon-downsizes-cargo-operations-german-213131663.html,Amazon downsizes cargo operations at German airport,"The air logistics arm of Amazon is closing its regional air hub at LeipzigHalle International Airport in Germany in response to a downturn in e-commerce sales and parcel volumes that has also forced rival express carriers to downsize their air networks to match lower volumes. We are always evaluating our network to make sure it fits our business needs and to improve the experience for our customers. After careful consideration, we have decided to close our Amazon Air operation at LeipzigHalle Airport and affected employees will be offered the opportunity to transfer to other facilities, an Amazon (NASDAQ: AMZN) spokesperson said in an emailed statement, confirming news first reported by industry website ch-aviation. The hub was handling several flights per week operated by contractor ASL Airlines Ireland using Boeing 737-800 converted freighters, according to Amazon officials and aviation databases. ASL Airlines Ireland operates nine 737-800s in Europe under the Amazon livery. Amazon will continue to use LeipzigHalle as a delivery station for customers in the Saxony region, but the airport will not be used as a collection point for connecting other cities in Europe, the company said. Amazon began operating to LeipzigHalle airport, where it leased a 20,000-square-foot facility, in November 2020 with two freighters to speed package delivery for Prime members around the continent. The company said service will not be impacted by the hub's closure. The online retail giant has invested in expanding its European logistics network in recent years, including a fulfillment center outside Bremen, Germany, that opened in August. It plans to open an additional fulfillment center and a sortation center in Germany over the next three years. Amazon Air has also made changes to routes and flight frequencies in Europe to reduce overhead in line with a slowdown in e-commerce sales. ASL Aviation Holdings released 28 pilots in July after Amazon reduced flight requirements in Europe. The Chaddick Institute at DePaul University researches Amazon Air and estimated in March that ASL Airlines Ireland operates 22 flights per day on its behalf, not including auxiliary flights in nonbranded planes. Amazon, which relies entirely on partner airlines, is not alone in dialing back flight activity amid a lengthy freight transport recession. DHL Express, FedEx and UPS have all trimmed the number of flights on certain routes and outsourced airlift. The YOU.S. logistics integrators have also parked dozens of aircraft and accelerated the retirement of older aircraft types, with FedEx also closing some pilot and maintenance bases. The adjustments within Amazon's air logistics network are modest compared to FedEx and UPS. Growth in Amazon Air activity has slowed considerably this year after the e-commerce surge during the pandemic. That contrasts with FedEx and UPS, which have cut flight hours. In August, Amazon's domestic YOU.S. fleet took to the skies 3 more than the prior year following a 16 year-over-year gain in July. FedEx domestic flight activity was 7 lower in August than the prior year and 14 lower in July. UPS flight activity in the YOU.S. was 13.5 below 2022 levels for July and August. LeipzigHalle is Germany's second-largest cargo airport. Click here for more FreightWavesAmerican Shipper stories by Eric Kulisch. Hawaiian Airlines sees advantage in Amazon pivot to Airbus freighters",0,{'article_hierarchy': 'related_article'},related_article
2023-10-04T03:00:47.463Z,7766083109,air,f530b349-ebfe-4bd0-bc0c-11d61b7bbac8,eng-8947684,"{'uri': 'ndtv.com', 'dataType': 'news', 'title': 'NDTV', 'ranking': {'importanceRank': 142033, 'alexaGlobalRank': 344, 'alexaCountryRank': 43}}",https://www.ndtv.com/chennai-news/chennai-airport-several-flights-delayed-at-chennai-airport-due-to-server-outage-issue-resolved-4447905,"Several Flights Delayed At Chennai Airport Due To Server Outage, Issue Resolved","Chennai: Passengers scheduled to fly out of India were today stuck at the Chennai airport after a server problem led to disruption in services. Several outbound flights at the International Departure were affected due to the outage that lasted from 1.45 am to 4.45 am. Only international departures were affected, impacting printing of boarding passes and baggage handling, officials added. International services to destinations including Colombo, Dubai and Bangkok suffered delays. PromotedListen to the latest songs, only on JioSaavn.com Airport authorities swiftly responded to the incident, and according to an official statement from the Airports Authority of India, the issue has now been resolved, and operations at the airport are running smoothly. The outage was due to fluctuations in the Firewall in T1. The IT team of Chennai Airport immediately took action and has resolved the issue, the statement said.",1,{'article_hierarchy': 'main_article'},main_article
2023-10-04T09:00:49.964Z,7767054040,air,f530b349-ebfe-4bd0-bc0c-11d61b7bbac8,eng-8942620,"{'uri': 'manchestereveningnews.co.uk', 'dataType': 'news', 'title': 'Manchester Evening News', 'ranking': {'importanceRank': 229747, 'alexaGlobalRank': 8607, 'alexaCountryRank': 9208}}",https://www.manchestereveningnews.co.uk/news/greater-manchester-news/government-pledges-extend-metrolink-line-27842632,Gov pledges to extend tram line to Manchester Airport - where it already exists,"The Government has pledged to extend the Metrolink line to Manchester Airport - where it has already existed for almost nine years. Following the news of the second leg of HS2 being scrapped on Wednesday (October 4) the government has instead announced the launch of 'Network North', with investments dubbed to improve transport and connectivity across the north of England. In the north west, it was announced that almost 4bn in cash would be found to 'improve connectivity', including a scheme to extend the Manchester Metrolink lines to Heywood, Bolton and Wigan. READ MORE 'You cannot have both': The surreal moment Rishi Sunak cancelled HS2 to Manchester READ MORE HS2 Manchester link cancelled by Rishi Sunak - updates and reaction However, the government also announced that the Metrolink would be extended to Manchester Airport as a trade-off for the scrapping of HS2 - despite the fact the line already exists and was opened in November 2014. The announcement read: Nearly 4 billion to improve connectivity, which could pay for schemes such as the extension of the Manchester Metrolink to Heywood, Bolton, Wigan and Manchester Airport and bus rapid transit corridors in Manchester. The north was also promised over 3bn in 'long term road resurfacing' to fix potholes and more than 500 million towards two major road schemes around Manchester, including a new link road between the M62 and the M60. In the announcement, a prospective map of the 'Network North' plans were shared, also appearing to show Manchester in the wrong place. People were quick to share their views on social media as one person humorously quipped Rishi Sunak would also be building 'a tower for Blackpool' and an 'angel-type structure in Gateshead.' On social media site X, NorthWestern299 wrote: This will come as a shock to those who have been using the Metrolink line to Manchester airport since checks notes November 2014. As digsb posted: This is quite incredible. One of the new transport projects is to extend the Manchester Metrolink to Manchester Airport. Ladies and gentleman, this extension was completed in 2014. DamianHastie commented: Sunak announces new investments in the North including extending metro tram link to Manchester Airport, a tower for Blackpool  an angel type structure in Gateshead. As stuartbruce wrote: At least the tram stop at Manchester airport is a promise the Tories can deliver. At the Tory conference on Wednesday, Mr Sunak said: I am ending this long-running saga. I am cancelling the rest of the HS2 project and in its place, we will reinvest every single penny, 36 billion in hundreds of new transport projects in the north and the midlands, across the country. This means 36 billion of investment in the project that will make a real difference across our nation. This includes the creation of what he named Network North, which involves improvements to road, rail and bus schemes, with a further 12 billion to be set aside to improve rail journeys between Manchester and Liverpool, which was a project previously announced as part of Northern Powerhouse Rail. However, his decision has been met with fury by politicians across the country and in Greater Manchester.",0,{'article_hierarchy': 'main_article'},main_article
2023-10-04T15:00:58.548Z,7767309350,air,f530b349-ebfe-4bd0-bc0c-11d61b7bbac8,None,"{'uri': 'aninews.in', 'dataType': 'news', 'title': 'Asian News International (ANI)', 'ranking': {'importanceRank': 272910, 'alexaGlobalRank': 18563, 'alexaCountryRank': 1676}}",https://www.aninews.in/news/national/general-news/tamil-nadus-vellore-airport-to-be-open-soon-authorities-hold-review-meeting20231004233952/,Tamil Nadu's Vellore airport to be open soon: Authorities hold review meeting,"Vellore (Tamil Nadu) India, October 04 (ANI): The long pending construction of Vellore airport as the Vellore airport located at Abdullapuram in Tamil Nadu is all set to be completed. A high-level meeting to take stock of safety measures at the airport was held on Wednesday. According to airport officials, the project, funded under the central government's Udan scheme, is estimated to be at Rs 65 crore. The review meeting focused on the security arrangements for the impending airport, said officials. Airport officials said that the review meeting led by Deputy General Security Manager Vijayakumar and officials from the Vellore District Police undertook the inspection which covered various critical areas including the terminal, passenger arrival and departure zones, runway, lanes, and security gates. Given the importance of state police in providing security for such small airports, authorities engaged in a joint consultation to determine the required personnel for safeguarding the airport premises, said officials. Earlier this week, the airport officials had informed that the preliminary signal testing for take-off and landing has been successfully completed at Vellore Airport and steps are being taken to start flight services soon. In this regard, a preliminary test was done on Sunday to see if the lights specially set up near the runway are visible during the day and if the signal is received from the information control room and the signal tower, the officials added. The officials further said that the first phase of the test flight conducted at the Abdullapuram airport with respect to signal and lights has been successfully completed. The next step is to land the aircraft on the runway and test it. We have applied for permission to operate the aircraft, they added. They said that the permission will be granted soon and the flight services from here will start soon. The officials further said that a test aircraft belonging to the Air Transport Commission was flown from New Delhi to Vellore via Chennai as part of the preliminary testing. The aircraft was tested by low-flying five times near the Abdullapuram airstrip. It was inspected by three persons, including a pilot from the Aircraft Inspection Unit in New Delhi, the officials said. An ambulance and a fire engine were also kept ready near the airport runway as a precautionary safety measure. The renovation work of the airport at Abdullapuram next to Vellore has been underway since 2017 under the central government's Udan project. Small planes that can carry about 19 passengers will operate from here to Chennai, Bengaluru, Tirupati and other cities. An 850-meter-long runway has been constructed for it. The works including the airport terminal, cargo terminal, information control room, radar equipment, signal tower, station office, and passenger waiting room renovation works have been completed so far. (ANI)",0,{'article_hierarchy': 'related_article'},related_article
